,Miller,Fc^2,Fo^2,Fo^2_sigma,ZOBS,asu,resolution,fcf_IOBS/SIGMA,Diff,,,,
1925,"(-5, -7, 9)",5.88,62.56,14.44,234.9,"(5, 9, 7)",0.934063758,4.332409972,3.925207756,,,,
1926,"(9, -7, 5)",5.88,43.23,17.5,217.7,"(5, 9, 7)",0.934063758,2.470285714,2.134285714,,,,
1927,"(5, -9, 7)",5.88,-17.63,17.63,189.5,"(5, 9, 7)",0.934063758,-1,-1.333522405,,,,
1928,"(7, -5, 9)",5.88,71.42,17.48,393.7,"(5, 9, 7)",0.934063758,4.085812357,3.749427918,,,,
1929,"(7, 5, -9)",5.88,-11.61,11.61,456.5,"(5, 9, 7)",0.934063758,-1,-1.506459948,,,,
1930,"(9, -5, 7)",5.88,-17.33,17.33,358.5,"(5, 9, 7)",0.934063758,-1,-1.339296018,,,,
1931,"(7, -9, 5)",5.88,-7.61,18.87,135.4,"(5, 9, 7)",0.934063758,-0.403285639,-0.714891362,,,,
1932,"(5, -7, 9)",5.88,27.51,16.91,327.8,"(5, 9, 7)",0.934063758,1.626848019,1.279124778,,,,
1933,"(5, 7, -9)",5.88,12.37,12.63,236.2,"(5, 9, 7)",0.934063758,0.979414093,0.513855899,,,,
1934,"(-9, 7, -6)",0.11,-16.49,16.49,254.2,"(6, 9, 7)",0.902585446,-1,-1.00667071,,,,
1935,"(-6, 9, -7)",0.11,9.26,16.25,199,"(6, 9, 7)",0.902585446,0.569846154,0.563076923,,,,
1936,"(-7, 6, -9)",0.11,14,15.49,364.4,"(6, 9, 7)",0.902585446,0.903808909,0.896707553,,,,
1937,"(-7, -6, 9)",0.11,-10.39,10.39,321.8,"(6, 9, 7)",0.902585446,-1,-1.010587103,,,,
1938,"(-9, 6, -7)",0.11,-15.4,15.4,326.8,"(6, 9, 7)",0.902585446,-1,-1.007142857,,,,
1939,"(-7, 9, -6)",0.11,-1.6,15.91,0,"(6, 9, 7)",0.902585446,-0.100565682,-0.107479573,,,,
1940,"(-6, 7, -9)",0.11,32.47,16.28,307.4,"(6, 9, 7)",0.902585446,1.994471744,1.987714988,,,,
1941,"(-6, -7, 9)",0.11,-7.78,13.71,225.7,"(6, 9, 7)",0.902585446,-0.567469001,-0.575492341,,,,
1942,"(9, -7, 6)",0.11,-19.77,19.77,0,"(6, 9, 7)",0.902585446,-1,-1.005563986,,,,
1943,"(6, -9, 7)",0.11,51.86,18.31,201,"(6, 9, 7)",0.902585446,2.832332059,2.826324413,,,,
1944,"(7, -6, 9)",0.11,-16.67,16.67,367,"(6, 9, 7)",0.902585446,-1,-1.00659868,,,,
1945,"(7, 6, -9)",0.11,14.58,10.28,273.7,"(6, 9, 7)",0.902585446,1.418287938,1.407587549,,,,
1946,"(9, -6, 7)",0.11,-4.55,18.82,320.5,"(6, 9, 7)",0.902585446,-0.241764081,-0.247608927,,,,
1947,"(7, -9, 6)",0.11,-18.49,18.8,179.6,"(6, 9, 7)",0.902585446,-0.983510638,-0.989361702,,,,
1948,"(6, -7, 9)",0.11,50.72,17.09,314.5,"(6, 9, 7)",0.902585446,2.967817437,2.961380925,,,,
1949,"(6, 7, -9)",0.11,-13.31,13.31,215.7,"(6, 9, 7)",0.902585446,-1,-1.008264463,,,,
1950,"(-9, 7, -7)",7.22,21.34,17.37,291.4,"(7, 9, 7)",0.869192269,1.22855498,0.812895797,,,,
1951,"(-7, 9, -7)",7.22,-16.33,16.33,214.5,"(7, 9, 7)",0.869192269,-1,-1.442131047,,,,
1952,"(-7, 7, -9)",7.22,-7.31,16.8,0,"(7, 9, 7)",0.869192269,-0.435119048,-0.864880952,,,,
1953,"(-7, -7, 9)",7.22,-3.74,12.7,196.5,"(7, 9, 7)",0.869192269,-0.294488189,-0.862992126,,,,
1954,"(9, -7, 7)",7.22,25.07,20.89,0,"(7, 9, 7)",0.869192269,1.20009574,0.854475826,,,,
1955,"(7, -9, 7)",7.22,37.67,19,206.5,"(7, 9, 7)",0.869192269,1.982631579,1.602631579,,,,
1956,"(7, -7, 9)",7.22,-17.91,17.91,316.5,"(7, 9, 7)",0.869192269,-1,-1.403126745,,,,
1957,"(7, 7, -9)",7.22,17.13,12.78,190.5,"(7, 9, 7)",0.869192269,1.340375587,0.77543036,,,,
1958,"(-9, 8, 0)",0.12,41.98,14.41,15.2,"(0, 9, 8)",0.965735885,2.913254684,2.904927134,,,,
1959,"(9, -8, 0)",0.12,-20.64,20.64,19.5,"(0, 9, 8)",0.965735885,-1,-1.005813953,,,,
1960,"(0, -9, 8)",0.12,35.37,21.3,158.5,"(0, 9, 8)",0.965735885,1.66056338,1.654929577,,,,
1961,"(0, 9, -8)",0.12,12.43,12.71,155.9,"(0, 9, 8)",0.965735885,0.977970102,0.968528718,,,,
1962,"(-9, 0, -8)",0.12,-14.3,14.3,575.5,"(0, 9, 8)",0.965735885,-1,-1.008391608,,,,
1963,"(9, 0, 8)",0.12,4.9,16.27,578.5,"(0, 9, 8)",0.965735885,0.301167793,0.293792256,,,,
1964,"(0, -8, 9)",0.12,13.19,22.84,249.5,"(0, 9, 8)",0.965735885,0.577495622,0.572241681,,,,
1965,"(0, 8, -9)",0.12,-12.48,12.48,247.5,"(0, 9, 8)",0.965735885,-1,-1.009615385,,,,
1966,"(-9, 8, -1)",8.51,-15.22,15.22,58.5,"(1, 9, 8)",0.962422888,-1,-1.55913272,,,,
1967,"(-1, 9, -8)",8.51,-6.79,13.05,177.8,"(1, 9, 8)",0.962422888,-0.520306513,-1.172413793,,,,
1968,"(-8, 1, -9)",8.51,52.09,15.02,580,"(1, 9, 8)",0.962422888,3.46804261,2.901464714,,,,
1969,"(-1, -9, 8)",8.51,-21.51,21.51,144,"(1, 9, 8)",0.962422888,-1,-1.39562994,,,,
1970,"(-9, 1, -8)",8.51,13.98,14.94,547.8,"(1, 9, 8)",0.962422888,0.935742972,0.366131191,,,,
1971,"(-8, 9, -1)",8.51,26.69,13.84,11.4,"(1, 9, 8)",0.962422888,1.928468208,1.313583815,,,,
1972,"(-1, 8, -9)",8.51,65.8,13.5,254,"(1, 9, 8)",0.962422888,4.874074074,4.243703704,,,,
1973,"(-1, -8, 9)",8.51,-11.04,21.36,219.2,"(1, 9, 8)",0.962422888,-0.516853933,-0.915262172,,,,
1974,"(9, -8, 1)",8.51,26.7,21.58,52.8,"(1, 9, 8)",0.962422888,1.237256719,0.842910102,,,,
1975,"(1, -9, 8)",8.51,38.77,19.78,170.8,"(1, 9, 8)",0.962422888,1.960060667,1.529828109,,,,
1976,"(8, -1, 9)",8.51,52.7,16.68,566.3,"(1, 9, 8)",0.962422888,3.159472422,2.649280576,,,,
1977,"(1, 9, -8)",8.51,28.9,12.26,150.7,"(1, 9, 8)",0.962422888,2.35725938,1.663132137,,,,
1978,"(9, -1, 8)",8.51,3.66,16.51,548.4,"(1, 9, 8)",0.962422888,0.221683828,-0.293761357,,,,
1979,"(8, -9, 1)",8.51,8.1,20.25,10.4,"(1, 9, 8)",0.962422888,0.4,-0.020246914,,,,
1980,"(1, -8, 9)",8.51,12.33,22.03,250,"(1, 9, 8)",0.962422888,0.55969133,0.173399909,,,,
1981,"(1, 8, -9)",8.51,60.65,11.93,239.1,"(1, 9, 8)",0.962422888,5.083822297,4.370494552,,,,
1982,"(-9, 8, -3)",9.81,38.16,16.15,136.6,"(3, 9, 8)",0.937091525,2.362848297,1.755417957,,,,
1983,"(-3, 9, -8)",9.81,10.98,15.08,0,"(3, 9, 8)",0.937091525,0.728116711,0.077586207,,,,
1984,"(-8, 3, -9)",9.81,-15.54,15.54,476.4,"(3, 9, 8)",0.937091525,-1,-1.631274131,,,,
1985,"(-3, -9, 8)",9.81,-16.38,18.26,106.4,"(3, 9, 8)",0.937091525,-0.897042716,-1.434282585,,,,
1986,"(-9, 3, -8)",9.81,45.78,16,455.6,"(3, 9, 8)",0.937091525,2.86125,2.248125,,,,
1987,"(-8, 9, -3)",9.81,27.98,15.12,84.5,"(3, 9, 8)",0.937091525,1.850529101,1.201719577,,,,
1988,"(-3, 8, -9)",9.81,47.18,15.56,273.1,"(3, 9, 8)",0.937091525,3.032133676,2.401670951,,,,
1989,"(-3, -8, 9)",9.81,36.03,16.89,203.5,"(3, 9, 8)",0.937091525,2.13321492,1.552397869,,,,
1990,"(9, -8, 3)",9.81,12.11,19.64,121.5,"(3, 9, 8)",0.937091525,0.616598778,0.117107943,,,,
1991,"(3, -9, 8)",9.81,-9.75,17.7,207.3,"(3, 9, 8)",0.937091525,-0.550847458,-1.105084746,,,,
1992,"(8, -3, 9)",9.81,36.52,19.06,0,"(3, 9, 8)",0.937091525,1.916054565,1.401364113,,,,
1993,"(3, 9, -8)",9.81,34.74,13.08,117.3,"(3, 9, 8)",0.937091525,2.655963303,1.905963303,,,,
1994,"(9, -3, 8)",9.81,24.05,18.87,463.1,"(3, 9, 8)",0.937091525,1.274509804,0.75463699,,,,
1995,"(8, -9, 3)",9.81,12.62,19.77,80.1,"(3, 9, 8)",0.937091525,0.638340921,0.142134547,,,,
1996,"(3, -8, 9)",9.81,-18.83,18.83,264.8,"(3, 9, 8)",0.937091525,-1,-1.520977164,,,,
1997,"(3, 8, -9)",9.81,8.67,12.87,213.1,"(3, 9, 8)",0.937091525,0.673659674,-0.088578089,,,,
1998,"(-9, 8, -4)",1.96,6.52,16.3,169,"(4, 9, 8)",0.916493591,0.4,0.279754601,,,,
1999,"(-4, 9, -8)",1.96,0.56,16.32,209,"(4, 9, 8)",0.916493591,0.034313725,-0.085784314,,,,
2000,"(-8, 4, -9)",1.96,27.97,15.38,437.5,"(4, 9, 8)",0.916493591,1.818595579,1.691157347,,,,
2001,"(-4, -9, 8)",1.96,1.44,16.35,82.3,"(4, 9, 8)",0.916493591,0.088073394,-0.031804281,,,,
2002,"(-9, 4, -8)",1.96,26.31,14.52,422.6,"(4, 9, 8)",0.916493591,1.811983471,1.676997245,,,,
2003,"(-8, 9, -4)",1.96,-15.2,15.2,134.5,"(4, 9, 8)",0.916493591,-1,-1.128947368,,,,
2004,"(-4, 8, -9)",1.96,-2.52,16.46,276.9,"(4, 9, 8)",0.916493591,-0.15309842,-0.27217497,,,,
2005,"(-4, -8, 9)",1.96,5.1,15.01,198,"(4, 9, 8)",0.916493591,0.339773484,0.209193871,,,,
2006,"(9, -8, 4)",1.96,17.56,18.93,154.9,"(4, 9, 8)",0.916493591,0.927628104,0.824088748,,,,
2007,"(4, -9, 8)",1.96,49.53,18.41,213.7,"(4, 9, 8)",0.916493591,2.69038566,2.583921782,,,,
2008,"(8, -4, 9)",1.96,33.28,18.41,441.4,"(4, 9, 8)",0.916493591,1.807713199,1.701249321,,,,
2009,"(4, 9, -8)",1.96,10.22,13.78,75.5,"(4, 9, 8)",0.916493591,0.741654572,0.599419448,,,,
2010,"(9, -4, 8)",1.96,23.56,17.8,418.9,"(4, 9, 8)",0.916493591,1.323595506,1.213483146,,,,
2011,"(8, -9, 4)",1.96,11.96,20.57,124.1,"(4, 9, 8)",0.916493591,0.581429266,0.486144871,,,,
2012,"(4, -8, 9)",1.96,21.3,19.2,275.9,"(4, 9, 8)",0.916493591,1.109375,1.007291667,,,,
2013,"(4, 8, -9)",1.96,-13.57,13.57,189.2,"(4, 9, 8)",0.916493591,-1,-1.144436256,,,,
2014,"(-9, 8, -5)",0.67,58.41,16.96,207.5,"(5, 9, 8)",0.891903586,3.443985849,3.404481132,,,,
2015,"(-5, 9, -8)",0.67,-12.35,16.27,221.2,"(5, 9, 8)",0.891903586,-0.759065765,-0.800245851,,,,
2016,"(-8, 5, -9)",0.67,48.27,15.55,401.1,"(5, 9, 8)",0.891903586,3.104180064,3.061093248,,,,
2017,"(-5, -9, 8)",0.67,19,14.94,63.6,"(5, 9, 8)",0.891903586,1.271753681,1.226907631,,,,
2018,"(-8, -5, 9)",0.67,-11.79,11.79,444.5,"(5, 9, 8)",0.891903586,-1,-1.05682782,,,,
2019,"(-9, 5, -8)",0.67,40.22,15.2,377,"(5, 9, 8)",0.891903586,2.646052632,2.601973684,,,,
2020,"(-8, 9, -5)",0.67,51.3,16.17,157.3,"(5, 9, 8)",0.891903586,3.172541744,3.131106988,,,,
2021,"(-5, 8, -9)",0.67,11.77,16.25,280.4,"(5, 9, 8)",0.891903586,0.724307692,0.683076923,,,,
2022,"(-9, -5, 8)",0.67,24.91,5.88,306.6,"(5, 9, 8)",0.891903586,4.236394558,4.12244898,,,,
2023,"(-5, -8, 9)",0.67,-14.79,14.79,163,"(5, 9, 8)",0.891903586,-1,-1.045300879,,,,
2024,"(9, -8, 5)",0.67,-3,18.59,0,"(5, 9, 8)",0.891903586,-0.161377084,-0.197417967,,,,
2025,"(5, -9, 8)",0.67,37.15,18.72,208.1,"(5, 9, 8)",0.891903586,1.984508547,1.948717949,,,,
2026,"(8, -5, 9)",0.67,-10.16,17.24,393.5,"(5, 9, 8)",0.891903586,-0.589327146,-0.628190255,,,,
2027,"(5, 9, -8)",0.67,-13.77,13.77,32.5,"(5, 9, 8)",0.891903586,-1,-1.0486565,,,,
2028,"(8, 5, -9)",0.67,-10.18,10.18,429.9,"(5, 9, 8)",0.891903586,-1,-1.065815324,,,,
2029,"(9, -5, 8)",0.67,57.93,17.57,389.5,"(5, 9, 8)",0.891903586,3.297097325,3.258964143,,,,
2030,"(8, -9, 5)",0.67,67.19,20.16,168.4,"(5, 9, 8)",0.891903586,3.332837302,3.299603175,,,,
2031,"(5, -8, 9)",0.67,-10.73,18.77,297.5,"(5, 9, 8)",0.891903586,-0.571656899,-0.607352158,,,,
2032,"(9, 5, -8)",0.67,4.42,5.98,279.5,"(5, 9, 8)",0.891903586,0.739130435,0.627090301,,,,
2033,"(5, 8, -9)",0.67,-13.85,13.85,0,"(5, 9, 8)",0.891903586,-1,-1.048375451,,,,
2034,"(-9, 8, -6)",1.54,5.59,16.94,233.2,"(6, 9, 8)",0.864376763,0.329988194,0.239079103,,,,
2035,"(-6, 9, -8)",1.54,-17.2,17.2,221.1,"(6, 9, 8)",0.864376763,-1,-1.089534884,,,,
2036,"(-8, 6, -9)",1.54,-16.55,16.55,0,"(6, 9, 8)",0.864376763,-1,-1.09305136,,,,
2037,"(-6, -9, 8)",1.54,-0.64,13.77,57.5,"(6, 9, 8)",0.864376763,-0.04647785,-0.158315178,,,,
2038,"(-8, -6, 9)",1.54,-9.69,9.69,278.5,"(6, 9, 8)",0.864376763,-1,-1.158926729,,,,
2039,"(-9, 6, -8)",1.54,-16.53,16.53,341.4,"(6, 9, 8)",0.864376763,-1,-1.093163944,,,,
2040,"(-8, 9, -6)",1.54,-6.35,16.55,188.1,"(6, 9, 8)",0.864376763,-0.383685801,-0.47673716,,,,
2041,"(-6, 8, -9)",1.54,-5.13,17.79,296.7,"(6, 9, 8)",0.864376763,-0.28836425,-0.374929736,,,,
2042,"(-9, -6, 8)",1.54,-8.72,8.72,85,"(6, 9, 8)",0.864376763,-1,-1.176605505,,,,
2043,"(-6, -8, 9)",1.54,20.72,14.48,135.4,"(6, 9, 8)",0.864376763,1.430939227,1.324585635,,,,
2044,"(9, -8, 6)",1.54,9.17,19.52,222.3,"(6, 9, 8)",0.864376763,0.46977459,0.390881148,,,,
2045,"(6, -9, 8)",1.54,-19.11,19.11,229.7,"(6, 9, 8)",0.864376763,-1,-1.080586081,,,,
2046,"(8, -6, 9)",1.54,-4.52,17.8,0,"(6, 9, 8)",0.864376763,-0.253932584,-0.340449438,,,,
2047,"(6, 9, -8)",1.54,-5.07,12.91,23.8,"(6, 9, 8)",0.864376763,-0.392718823,-0.512006197,,,,
2048,"(8, 6, -9)",1.54,16.55,9.94,294.5,"(6, 9, 8)",0.864376763,1.66498994,1.510060362,,,,
2049,"(9, -6, 8)",1.54,47.39,19.79,346.5,"(6, 9, 8)",0.864376763,2.394643759,2.31682668,,,,
2050,"(8, -9, 6)",1.54,2.19,18.79,175.9,"(6, 9, 8)",0.864376763,0.116551357,0.034592869,,,,
2051,"(6, -8, 9)",1.54,-19.34,19.34,0,"(6, 9, 8)",0.864376763,-1,-1.079627715,,,,
2052,"(9, 6, -8)",1.54,25.99,8.82,78.8,"(6, 9, 8)",0.864376763,2.946712018,2.772108844,,,,
2053,"(6, 8, -9)",1.54,34.45,14.18,146.6,"(6, 9, 8)",0.864376763,2.429478138,2.320874471,,,,
2054,"(-9, 8, -7)",0.34,-9.84,17.69,246.1,"(7, 9, 8)",0.834913543,-0.556246467,-0.575466365,,,,
2055,"(-7, 9, -8)",0.34,51.74,16.7,236.7,"(7, 9, 8)",0.834913543,3.098203593,3.077844311,,,,
2056,"(-8, 7, -9)",0.34,31.96,18.33,0,"(7, 9, 8)",0.834913543,1.743589744,1.725040917,,,,
2057,"(-8, -7, 9)",0.34,-12.43,12.43,201.7,"(7, 9, 8)",0.834913543,-1,-1.027353178,,,,
2058,"(-9, 7, -8)",0.34,34.77,18.95,297,"(7, 9, 8)",0.834913543,1.834828496,1.816886544,,,,
2059,"(-8, 9, -7)",0.34,-14.2,17.33,217.5,"(7, 9, 8)",0.834913543,-0.819388344,-0.839007501,,,,
2060,"(-7, 8, -9)",0.34,20.84,19.41,293.3,"(7, 9, 8)",0.834913543,1.073673364,1.05615662,,,,
2061,"(-7, -8, 9)",0.34,-10.85,14.02,115.7,"(7, 9, 8)",0.834913543,-0.773894437,-0.798145506,,,,
2062,"(9, -8, 7)",0.34,-21.94,21.94,0,"(7, 9, 8)",0.834913543,-1,-1.015496809,,,,
2063,"(7, -9, 8)",0.34,67.64,20.04,238.6,"(7, 9, 8)",0.834913543,3.375249501,3.358283433,,,,
2064,"(8, -7, 9)",0.34,40.42,19.02,328.3,"(7, 9, 8)",0.834913543,2.125131441,2.107255521,,,,
2065,"(8, 7, -9)",0.34,18.24,11.47,137.5,"(7, 9, 8)",0.834913543,1.590235397,1.560592851,,,,
2066,"(9, -7, 8)",0.34,-20.24,20.24,312.2,"(7, 9, 8)",0.834913543,-1,-1.016798419,,,,
2067,"(8, -9, 7)",0.34,-18.93,18.93,202.6,"(7, 9, 8)",0.834913543,-1,-1.017960909,,,,
2068,"(7, -8, 9)",0.34,17.37,20.02,284.5,"(7, 9, 8)",0.834913543,0.867632368,0.850649351,,,,
2069,"(7, 8, -9)",0.34,4.94,13.42,118.3,"(7, 9, 8)",0.834913543,0.368107303,0.342771982,,,,
2070,"(-9, 8, -8)",1.46,-19.19,19.19,284.9,"(8, 9, 8)",0.80439475,-1,-1.076081292,,,,
2071,"(-8, 9, -8)",1.46,-18.31,18.31,0,"(8, 9, 8)",0.80439475,-1,-1.079737848,,,,
2072,"(-8, 8, -9)",1.46,-21.26,21.26,295.5,"(8, 9, 8)",0.80439475,-1,-1.068673565,,,,
2073,"(-8, -8, 9)",1.46,34.13,13.74,101.1,"(8, 9, 8)",0.80439475,2.483988355,2.377729258,,,,
2074,"(9, -8, 8)",1.46,3.39,22.95,283.1,"(8, 9, 8)",0.80439475,0.147712418,0.084095861,,,,
2075,"(8, -9, 8)",1.46,-15.61,20.76,245.4,"(8, 9, 8)",0.80439475,-0.751926782,-0.822254335,,,,
2076,"(8, -8, 9)",1.46,28.57,23.24,290.5,"(8, 9, 8)",0.80439475,1.229345955,1.166523236,,,,
2077,"(8, 8, -9)",1.46,-12.28,13.41,67.4,"(8, 9, 8)",0.80439475,-0.915734526,-1.024608501,,,,
2078,"(0, -9, 9)",0,0.12,22.44,219,"(0, 9, 9)",0.913660529,0.005347594,0.005347594,,,,
2079,"(0, 9, -9)",0,14.61,14.04,194.5,"(0, 9, 9)",0.913660529,1.040598291,1.040598291,,,,
2080,"(-9, 1, -9)",2.21,3.66,15.95,568.5,"(1, 9, 9)",0.910853577,0.229467085,0.090909091,,,,
2081,"(-9, 9, -1)",2.21,-16.35,16.35,40.1,"(1, 9, 9)",0.910853577,-1,-1.135168196,,,,
2082,"(-1, 9, -9)",2.21,54.19,15.52,210.6,"(1, 9, 9)",0.910853577,3.491623711,3.349226804,,,,
2083,"(-1, -9, 9)",2.21,-22.65,22.65,0,"(1, 9, 9)",0.910853577,-1,-1.097571744,,,,
2084,"(9, -1, 9)",2.21,44.48,18.91,545.5,"(1, 9, 9)",0.910853577,2.352194606,2.235325225,,,,
2085,"(9, -9, 1)",2.21,-20.55,22.43,29.2,"(1, 9, 9)",0.910853577,-0.916183683,-1.014712439,,,,
2086,"(1, -9, 9)",2.21,-20.21,20.21,0,"(1, 9, 9)",0.910853577,-1,-1.109351806,,,,
2087,"(1, 9, -9)",2.21,4.47,13.3,188.8,"(1, 9, 9)",0.910853577,0.336090226,0.169924812,,,,
2088,"(-9, 2, -9)",11.91,-0.86,15.84,514.8,"(2, 9, 9)",0.902585446,-0.054292929,-0.806186869,,,,
2089,"(-9, 9, -2)",11.91,43.01,16.28,75.8,"(2, 9, 9)",0.902585446,2.641891892,1.91031941,,,,
2090,"(-2, 9, -9)",11.91,21.56,16.13,226.4,"(2, 9, 9)",0.902585446,1.336639802,0.598264104,,,,
2091,"(-2, -9, 9)",11.91,-20.39,20.39,154.8,"(2, 9, 9)",0.902585446,-1,-1.584109858,,,,
2092,"(9, -2, 9)",11.91,8.46,18.35,518.2,"(2, 9, 9)",0.902585446,0.461035422,-0.188010899,,,,
2093,"(9, -9, 2)",11.91,65.17,21.95,71.8,"(2, 9, 9)",0.902585446,2.969020501,2.42642369,,,,
2094,"(2, -9, 9)",11.91,59.12,19.39,234.5,"(2, 9, 9)",0.902585446,3.048994327,2.434760186,,,,
2095,"(2, 9, -9)",11.91,50.63,13.61,182.4,"(2, 9, 9)",0.902585446,3.72005878,2.844966936,,,,
2096,"(-9, 3, -9)",0.55,15.65,15.85,0,"(3, 9, 9)",0.889291856,0.987381703,0.952681388,,,,
2097,"(-9, 9, -3)",0.55,-14.5,15.95,96.3,"(3, 9, 9)",0.889291856,-0.909090909,-0.943573668,,,,
2098,"(-3, 9, -9)",0.55,-16.49,16.49,226.9,"(3, 9, 9)",0.889291856,-1,-1.033353548,,,,
2099,"(-3, -9, 9)",0.55,-17.49,17.49,153.9,"(3, 9, 9)",0.889291856,-1,-1.031446541,,,,
2100,"(9, -3, 9)",0.55,-19.19,19.19,470.5,"(3, 9, 9)",0.889291856,-1,-1.028660761,,,,
2101,"(9, -9, 3)",0.55,4.21,20.64,97,"(3, 9, 9)",0.889291856,0.203972868,0.177325581,,,,
2102,"(3, -9, 9)",0.55,-16.21,18.79,226.5,"(3, 9, 9)",0.889291856,-0.862692922,-0.891963811,,,,
2103,"(3, 9, -9)",0.55,27.73,14.45,145.4,"(3, 9, 9)",0.889291856,1.919031142,1.880968858,,,,
2104,"(-9, 4, -9)",0.68,18.85,15.89,439.4,"(4, 9, 9)",0.871630401,1.18628068,1.143486469,,,,
2105,"(-9, 9, -4)",0.68,-14.01,16.09,146.5,"(4, 9, 9)",0.871630401,-0.87072716,-0.912989434,,,,
2106,"(-4, 9, -9)",0.68,3.45,17.11,238.4,"(4, 9, 9)",0.871630401,0.20163647,0.161893629,,,,
2107,"(-4, -9, 9)",0.68,-15.58,15.58,136.6,"(4, 9, 9)",0.871630401,-1,-1.0436457,,,,
2108,"(9, -4, 9)",0.68,-15.98,18.75,426.4,"(4, 9, 9)",0.871630401,-0.852266667,-0.888533333,,,,
2109,"(9, -9, 4)",0.68,1.37,20.07,126.9,"(4, 9, 9)",0.871630401,0.068261086,0.034379671,,,,
2110,"(4, -9, 9)",0.68,14.69,19.49,237.7,"(4, 9, 9)",0.871630401,0.753719856,0.718830169,,,,
2111,"(4, 9, -9)",0.68,5.37,14.42,142,"(4, 9, 9)",0.871630401,0.372399445,0.325242718,,,,
2112,"(-9, 5, -9)",21.69,60.09,16.39,405.5,"(5, 9, 9)",0.850396702,3.666259915,2.342892007,,,,
2113,"(-9, 9, -5)",21.69,34.19,16.49,176,"(5, 9, 9)",0.850396702,2.073377805,0.758035173,,,,
2114,"(-5, 9, -9)",21.69,52.39,16.96,257.3,"(5, 9, 9)",0.850396702,3.089033019,1.810141509,,,,
2115,"(-9, -5, 9)",21.69,15.53,10.22,500.8,"(5, 9, 9)",0.850396702,1.519569472,-0.602739726,,,,
2116,"(-5, -9, 9)",21.69,85.95,15.16,114.6,"(5, 9, 9)",0.850396702,5.669525066,4.23878628,,,,
2117,"(9, -5, 9)",21.69,-7.69,18.6,391.3,"(5, 9, 9)",0.850396702,-0.41344086,-1.579569892,,,,
2118,"(9, -9, 5)",21.69,110.36,19.56,162.9,"(5, 9, 9)",0.850396702,5.642126789,4.533231084,,,,
2119,"(5, -9, 9)",21.69,49.93,20.39,242.6,"(5, 9, 9)",0.850396702,2.448749387,1.384992643,,,,
2120,"(5, 9, -9)",21.69,66.6,14.1,121.2,"(5, 9, 9)",0.850396702,4.723404255,3.185106383,,,,
2121,"(-9, 6, -9)",0.06,-12.34,17.53,375.5,"(6, 9, 9)",0.826437043,-0.70393611,-0.707358813,,,,
2122,"(-9, 9, -6)",0.06,41.18,17.68,189.5,"(6, 9, 9)",0.826437043,2.32918552,2.325791855,,,,
2123,"(-6, 9, -9)",0.06,4.1,17.39,0,"(6, 9, 9)",0.826437043,0.235767683,0.232317424,,,,
2124,"(-9, -6, 9)",0.06,-10.67,10.67,245,"(6, 9, 9)",0.826437043,-1,-1.005623243,,,,
2125,"(-6, -9, 9)",0.06,-14.54,14.54,0,"(6, 9, 9)",0.826437043,-1,-1.004126547,,,,
2126,"(9, -6, 9)",0.06,-18.88,19.1,362.9,"(6, 9, 9)",0.826437043,-0.988481675,-0.991623037,,,,
2127,"(9, -9, 6)",0.06,-19.17,19.17,198.1,"(6, 9, 9)",0.826437043,-1,-1.00312989,,,,
2128,"(6, -9, 9)",0.06,38.51,20.8,260.8,"(6, 9, 9)",0.826437043,1.851442308,1.848557692,,,,
2129,"(9, 6, -9)",0.06,39.57,9.64,255.4,"(6, 9, 9)",0.826437043,4.104771784,4.098547718,,,,
2130,"(6, 9, -9)",0.06,6.97,13.37,95.9,"(6, 9, 9)",0.826437043,0.52131638,0.516828721,,,,
2131,"(-7, -9, 9)",0.86,8.33,15.63,77.3,"(7, 9, 9)",0.800573376,0.532949456,0.477927063,,,,
2132,"(-10, 0, 0)",298.61,244.94,15.73,397.3,"(0, 10, 0)",1.1629,15.57151939,-3.411951685,,,,
2133,"(10, 0, 0)",298.61,134.99,16.88,379,"(0, 10, 0)",1.1629,7.997037915,-9.693127962,,,,
2134,"(-10, -1, 0)",5.28,73.94,15.19,476.4,"(0, 10, 1)",1.157128748,4.867676103,4.520078999,,,,
2135,"(-10, 1, 0)",5.28,7.45,12.97,326.5,"(0, 10, 1)",1.157128748,0.574402467,0.167309175,,,,
2136,"(10, -1, 0)",5.28,-14.02,14.02,313,"(0, 10, 1)",1.157128748,-1,-1.37660485,,,,
2137,"(10, 1, 0)",5.28,5.09,15.6,469.5,"(0, 10, 1)",1.157128748,0.326282051,-0.012179487,,,,
2138,"(-10, 0, -1)",5.28,44,14.18,417.5,"(0, 10, 1)",1.157128748,3.102961918,2.730606488,,,,
2139,"(-10, 0, 1)",5.28,20.46,14.91,343,"(0, 10, 1)",1.157128748,1.3722334,1.018108652,,,,
2140,"(10, 0, 1)",5.28,-16.7,16.7,423.7,"(0, 10, 1)",1.157128748,-1,-1.316167665,,,,
2141,"(10, 0, -1)",5.28,-14.43,14.43,338.4,"(0, 10, 1)",1.157128748,-1,-1.365904366,,,,
2142,"(10, 1, 1)",81.86,76.4,15.71,492.5,"(1, 10, 1)",1.151442578,4.863144494,-0.347549332,,,,
2143,"(-10, 1, -1)",81.86,162.34,14.37,369.1,"(1, 10, 1)",1.151442578,11.29714683,5.600556715,,,,
2144,"(-10, -1, 1)",81.86,83.63,16.83,436.1,"(1, 10, 1)",1.151442578,4.969102793,0.10516934,,,,
