,Miller,Fc^2,Fo^2,Fo^2_sigma,ZOBS,asu,resolution,fcf_IOBS/SIGMA,Diff,,,,
250,"(5, -1, 2)",103.28,118,10.16,402.1,"(1, 5, 2)",2.123155207,11.61417323,1.448818898,,,,
251,"(1, -2, 5)",103.28,71.76,9.14,481.7,"(1, 5, 2)",2.123155207,7.851203501,-3.448577681,,,,
252,"(5, 1, -2)",103.28,60.13,5.73,324.2,"(1, 5, 2)",2.123155207,10.4938918,-7.530541012,,,,
253,"(1, 2, -5)",103.28,71.01,5.75,531.6,"(1, 5, 2)",2.123155207,12.34956522,-5.612173913,,,,
254,"(-5, 2, -2)",75.16,107.29,9.8,317.1,"(2, 5, 2)",2.024349061,10.94795918,3.278571429,,,,
255,"(-2, 5, -2)",75.16,120.46,6.58,34.7,"(2, 5, 2)",2.024349061,18.30699088,6.88449848,,,,
256,"(-2, 2, -5)",75.16,99.52,8.21,479.8,"(2, 5, 2)",2.024349061,12.12180268,2.967113276,,,,
257,"(-2, -2, 5)",75.16,70.26,6.48,552.3,"(2, 5, 2)",2.024349061,10.84259259,-0.75617284,,,,
258,"(5, -2, 2)",75.16,88.74,10.24,308.6,"(2, 5, 2)",2.024349061,8.666015625,1.326171875,,,,
259,"(2, -5, 2)",75.16,78.51,7.27,26.3,"(2, 5, 2)",2.024349061,10.79917469,0.460797799,,,,
260,"(2, -2, 5)",75.16,59.2,9.77,471.5,"(2, 5, 2)",2.024349061,6.059365404,-1.63357216,,,,
261,"(2, 2, -5)",75.16,56.06,5.19,570.5,"(2, 5, 2)",2.024349061,10.80154143,-3.680154143,,,,
262,"(-5, 3, 0)",0.5,6.13,5.99,90.1,"(0, 5, 3)",1.994357047,1.023372287,0.939899833,,,,
263,"(5, -3, 0)",0.5,14.32,7.79,83.8,"(0, 5, 3)",1.994357047,1.838254172,1.77406932,,,,
264,"(0, -5, 3)",0.5,-6.49,7.19,29.7,"(0, 5, 3)",1.994357047,-0.902642559,-0.972183588,,,,
265,"(0, 5, -3)",0.5,22.24,5.63,37.3,"(0, 5, 3)",1.994357047,3.95026643,3.861456483,,,,
266,"(-5, 0, -3)",0.5,1.07,6.87,547.5,"(0, 5, 3)",1.994357047,0.155749636,0.082969432,,,,
267,"(5, 0, 3)",0.5,31.38,7.63,537.5,"(0, 5, 3)",1.994357047,4.112712975,4.047182176,,,,
268,"(0, -3, 5)",0.5,-9.95,9.95,378.7,"(0, 5, 3)",1.994357047,-1,-1.050251256,,,,
269,"(0, 3, -5)",0.5,54.32,7.93,389.1,"(0, 5, 3)",1.994357047,6.849936948,6.786885246,,,,
270,"(-5, 3, -1)",40.32,27.62,7.43,172.9,"(1, 5, 3)",1.965659766,3.717362046,-1.709286676,,,,
271,"(-1, 5, -3)",40.32,17.77,5.94,79.7,"(1, 5, 3)",1.965659766,2.991582492,-3.796296296,,,,
272,"(-3, 1, -5)",40.32,44.95,7.11,563.7,"(1, 5, 3)",1.965659766,6.322081575,0.651195499,,,,
273,"(-5, 1, -3)",40.32,9.29,8.39,459.1,"(1, 5, 3)",1.965659766,1.10727056,-3.698450536,,,,
274,"(-1, 3, -5)",40.32,-8.38,8.38,380.7,"(1, 5, 3)",1.965659766,-1,-5.811455847,,,,
275,"(-1, -3, 5)",40.32,47.09,9.41,375.6,"(1, 5, 3)",1.965659766,5.004250797,0.719447396,,,,
276,"(5, -3, 1)",40.32,55.75,8.54,163.8,"(1, 5, 3)",1.965659766,6.528103044,1.806791569,,,,
277,"(1, -5, 3)",40.32,73.46,7.68,68.9,"(1, 5, 3)",1.965659766,9.565104167,4.315104167,,,,
278,"(3, -1, 5)",40.32,52.41,7.76,552.9,"(1, 5, 3)",1.965659766,6.753865979,1.557989691,,,,
